# Version = 1.0.1, Revision date = 12-Mar-2020
# Temperatures radially out from the centre of a nuclear waste rod, and it's surroundings, at different times.
# Radius(cm)	Initial Temp(K)	Temp(K)[1 yr]	Temp(K)[10 yrs]	Temp(K)[50 yrs]	Temp(K)[100 yrs]
1.010101	300.000000	300.923638	300.844141	300.565845	300.343374
2.020202	300.000000	300.922560	300.843157	300.565185	300.342973
3.030303	300.000000	300.920621	300.841384	300.563997	300.342252
4.040404	300.000000	300.917850	300.838852	300.562299	300.341222
5.050505	300.000000	300.914258	300.835569	300.560099	300.339887
6.060606	300.000000	300.909850	300.831541	300.557398	300.338248
7.070707	300.000000	300.904629	300.826768	300.554199	300.336307
8.080808	300.000000	300.898595	300.821254	300.550503	300.334064
9.090909	300.000000	300.891750	300.814998	300.546309	300.331519
10.101010	300.000000	300.884094	300.808001	300.541619	300.328673
11.111111	300.000000	300.875628	300.800263	300.536433	300.325526
12.121212	300.000000	300.866352	300.791786	300.530750	300.322077
13.131313	300.000000	300.856266	300.782569	300.524571	300.318328
14.141414	300.000000	300.845372	300.772612	300.517897	300.314278
15.151515	300.000000	300.833668	300.761915	300.510727	300.309926
16.161616	300.000000	300.821155	300.750479	300.503061	300.305275
17.171717	300.000000	300.807833	300.738304	300.494900	300.300322
18.181818	300.000000	300.793703	300.725390	300.486243	300.295069
19.191919	300.000000	300.778763	300.711736	300.477091	300.289515
20.202020	300.000000	300.763015	300.697344	300.467443	300.283661
21.212121	300.000000	300.746459	300.682212	300.457300	300.277505
22.222222	300.000000	300.729094	300.666341	300.446662	300.271050
23.232323	300.000000	300.710920	300.649732	300.435528	300.264293
24.242424	300.000000	300.691937	300.632383	300.423899	300.257236
25.252525	300.000000	300.672147	300.614296	300.411775	300.249879
26.262626	300.000000	300.653132	300.596918	300.400126	300.242810
27.272727	300.000000	300.634835	300.580196	300.388917	300.236008
28.282828	300.000000	300.617203	300.564081	300.378115	300.229453
29.292929	300.000000	300.600190	300.548533	300.367692	300.223128
30.303030	300.000000	300.583754	300.533511	300.357623	300.217018
31.313131	300.000000	300.567856	300.518982	300.347884	300.211108
32.323232	300.000000	300.552464	300.504914	300.338454	300.205385
33.333333	300.000000	300.537544	300.491279	300.329314	300.199839
34.343434	300.000000	300.523071	300.478050	300.320447	300.194458
35.353535	300.000000	300.509016	300.465206	300.311837	300.189233
36.363636	300.000000	300.495358	300.452723	300.303469	300.184155
37.373737	300.000000	300.482074	300.440582	300.295331	300.179217
38.383838	300.000000	300.469144	300.428765	300.287410	300.174410
39.393939	300.000000	300.456550	300.417255	300.279694	300.169728
40.404040	300.000000	300.444274	300.406036	300.272174	300.165165
41.414141	300.000000	300.432302	300.395094	300.264840	300.160714
42.424242	300.000000	300.420618	300.384416	300.257682	300.156370
43.434343	300.000000	300.409210	300.373990	300.250693	300.152129
44.444444	300.000000	300.398063	300.363802	300.243864	300.147985
45.454545	300.000000	300.387167	300.353844	300.237189	300.143934
46.464646	300.000000	300.376511	300.344105	300.230660	300.139973
47.474747	300.000000	300.366083	300.334575	300.224272	300.136096
48.484848	300.000000	300.355875	300.325246	300.218019	300.132301
49.494949	300.000000	300.345878	300.316109	300.211894	300.128584
50.505051	300.000000	300.336083	300.307156	300.205893	300.124943
